"sight_name","sight_id","level","location","price","score","num_comment","city_id","address"
"仙宅蓝莓园区","2101552449","0","119.898004,30.310498","0","0","0","hangzhou","浙江省杭州余杭镇仙宅蓝莓园区"
"烛台峰","2101776151","0","107.16848931638,29.022936639547","0","0","0","chongqing","重庆市南川区金佛山"
"莘庄公园","2102234052","0","121.379786,31.108042","0","4","1","shanghai","上海市闵行区莘浜路421号"
"北京蜜蜂书店","2102261448","0","116.725791,39.962371","0","0","0","beijing","北京市通州区 宋庄镇小堡村尚堡艺术区B-106号(近环岛艺术区)"
"两江夜游·朝天系列游船","2103098562","0","106.592146,29.568784","0","5","274","chongqing","重庆市渝中区朝天门码头"
"华亭东石塘","2103828567","0","121.517612,30.854482","0","0","0","shanghai","上海市奉贤区柘林镇奉柘公路"
"中国现代文学馆","2103992313","0","116.436641,39.989685","0","0","0","beijing","北京市朝阳区芍药居文学馆路45号"
"上海乐水体育","210410016","0","0.0,0.0","0","0","0","shanghai","上海市浦东新区环湖西一路819号C302室"
"国际饭店会议中心紫金大厅","2105095043","0","116.44058637349,39.921806241174","0","0","0","beijing","北京市东城区建国门内大街9号"
"加拿大多媒体亲子音乐剧《爱丽丝梦游仙境》中文版","2105268870","0","0.0,0.0","0","0","0","shanghai",""
"新场水乡桃源","2105358562","0","121.466362,31.210503","0","4","1","shanghai","上海市浦东新区新场镇果园村"
"工人体育场工体游泳场","2105501363","0","116.46092601587,39.939465561198","0","0","0","beijing","北京市朝阳区三里屯工体北路工人体育场（体育场院内东南角）"
"孩子王（南坪店）","21061307","0","106.577018,29.529788","0","0","0","chongqing","南岸区江南大道28号3层0304号、4层033号（星光时代广场3层、4层）"
"逃城真人密室逃脱","2106391704","0","116.320197,39.984301","0","0","0","beijing","北京市海淀区科育社区中关村32号楼1单元201"
"土地祠","2107014438","0","116.391248,39.895914","0","0","0","beijing","北京市西城区（原宣武区）南新华街"
"天目湖丽华大鱼头土菜馆","2107078602","0","119.451537,31.326415","0","0","0","suzhou","溧阳市天目湖天目湖镇迎宾路343号"
"上海美术馆","2107293711","0","121.477279,31.237285","0","4","1","shanghai","上海南京西路325号"
"骄城山游泳馆","210770588","0","116.30524,39.885166","0","4.6","17","beijing","北京市丰台区六里桥南里甲29号"
"高碑店民俗旅游文化村","210780256","0","115.8804535245,39.332273936142","0","0","0","beijing","北京市朝阳区高碑店村551号"
"飞速射箭俱乐部","2108453287","0","116.446626,39.894368","0","0","0","beijing","北京市东城区夕照寺街绿景苑大厦地下一层"
"奇彩游泳健身俱乐部","2109261433","0","116.301426,40.030289","0","0","0","beijing","北京市海淀区农大南路118号"
"杭州极速冰雪世界","2109340361","0","0.0,0.0","0","0","0","hangzhou",""
"三星洞","2109638768","0","116.63765696024,40.384652492064","0","0","0","beijing","北京市怀柔区桥梓镇口头村圣泉山观音寺"
"顺丰华夏冬枣种植中心","21101701","0","116.609694,40.174909","0","0","0","beijing","北京市顺义区马坡镇良正卷村前"
"甜心DIY手工自作坊","2110585911","0","104.076881,30.671409","0","0","0","chengdu","四川省成都市青羊区地一大道17入口C110（近肯德基）"
"虞海农庄","2110806217","0","121.358884,30.958557","0","0","0","shanghai","上海奉贤区大叶公路1577号(近车亭公路)"
"上海赵屯镇CS基地","2111926290","0","121.075817,31.245184","0","4","1","shanghai","上海市青浦区赵屯镇江平路115号"
"德国风情啤酒节","2112343676","0","120.684385,31.300169","0","0","0","suzhou","苏州工业园区高和路78号（金鸡湖大道星港街交汇处）"
"福寿园","211234677","0","121.13784285619,31.118464088873","0","0","0","shanghai","上海市青浦区外青松公路7270号"
"赵屯小彭草莓采摘园","2112836701","0","121.092388,31.265381","0","0","0","shanghai","上海市青浦区赵屯村古浦罗浦20号（赵屯卫生院、新赵路和建屯路相交口）"
"圆明宫","2113345887","0","103.565672,30.914033","0","0","0","chengdu","四川省成都都江堰市青城山"
"上海滨海农家乐","2113769859","0","121.891848,31.015127","0","0","0","shanghai","上海市南汇区火箭路169号"
"恐龙化石遗址","211386718","0","106.429811,29.849543","0","0","0","chongqing","重庆市北碚区"
"哈比豆儿童乐园（圆明园店）","211439185","0","116.282883,40.034916","0","0","0","beijing","北京市海淀区圆明园西路中发百旺商场三层东北角"
"紫玉山庄度假村","2115572341","0","116.420461,40.016373","0","0","0","beijing","北京市朝阳区紫玉东路一号北京紫玉庄园"
"金梧桐会所","2116002592","0","116.466503,39.966474","0","0","0","beijing","北京市朝阳区北苑路86号嘉铭一区5号"
"天通苑名佳健身会所","2116579804","0","116.42277,40.111721","0","0","0","beijing","北京市昌平区北七家镇名佳花园三区(王府中西结合医院旁边名佳花园小区内)"
"乌木林","2116964401","0","104.019429,30.685619","0","0","0","chengdu","四川省成都市青羊区金沙遗址博物馆内"
"千岛湖羡山半岛运动基地","2117959823","0","120.184769,30.276929","0","0","0","hangzhou","浙江省杭州市下城区体育场路仓河下青年大厦2310"
"北京新华联丽景温泉","2118507701","0","116.765609,40.129467","0","4.9","46","beijing","北京市顺义区李遂镇宣庄户中街111号"
